Time	Group
1.45	Ozon_Old
27.23	Ozon_Old
18.98	Ozon_Old
45.27	Ozon_Old
5.32	Ozon_Old
25.75	Ozon_Old
3.82	Ozon_Old
3.57	Ozon_Old
3.12	Ozon_Old
17.38	Ozon_Old
17.42	Ozon_Old
1.73	Ozon_Old
27.33	Ozon_Old
24.18	Ozon_Old
15.28	Ozon_Old
1.23	Ozon_Old
25.67	Ozon_Old
6.27	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
6.37	Ozon_Old
7.38	Ozon_Old
26.37	Ozon_Old
0.0	Ozon_Old
2.53	Ozon_Old
0.02	Ozon_Old
5.77	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
48.58	Ozon_Old
4.23	Ozon_Old
0.0	Ozon_Old
5.32	Ozon_Old
5.17	Ozon_Old
2.45	Ozon_Old
0.0	Ozon_Old
6.42	Ozon_Old
15.0	Ozon_Old
4.28	Ozon_Old
18.85	Ozon_Old
1.3	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
27.13	Ozon_Old
2.53	Ozon_Old
23.53	Ozon_Old
0.0	Ozon_Old
0.27	Ozon_Old
47.27	Ozon_Old
36.85	Ozon_Old
68.57	Ozon_Old
0.48	Ozon_Old
0.0	Ozon_Old
2.95	Ozon_Old
0.08	Ozon_Old
2.38	Ozon_Old
0.0	Ozon_Old
2.83	Ozon_Old
30.83	Ozon_Old
5.53	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
48.23	Ozon_Old
0.0	Ozon_Old
67.7	Ozon_Old
0.0	Ozon_Old
19.2	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
1.2	Ozon_Old
0.0	Ozon_Old
6.28	Ozon_Old
0.0	Ozon_Old
68.2	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
20.93	Ozon_Old
69.8	Ozon_Old
3.7	Ozon_Old
5.82	Ozon_Old
0.0	Ozon_Old
1.1	Ozon_Old
7.83	Ozon_Old
0.0	Ozon_Old
102.0	Ozon_Old
0.0	Ozon_Old
2.38	Ozon_Old
70.4	Ozon_Old
0.07	Ozon_Old
0.0	Ozon_Old
1.0	Ozon_Old
1.18	Ozon_Old
22.2	Ozon_Old
0.68	Ozon_Old
0.12	Ozon_Old
0.0	Ozon_Old
23.03	Ozon_Old
0.1	Ozon_Old
0.0	Ozon_Old
5.27	Ozon_Old
5.12	Ozon_Old
0.0	Ozon_Old
1.95	Ozon_Old
25.6	Ozon_Old
81.23	Ozon_Old
4.2	Ozon_Old
12.28	Ozon_Old
109.68	Ozon_Old
0.0	Ozon_Old
20.97	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
26.53	Ozon_Old
3.0	Ozon_Old
0.0	Ozon_Old
19.8	Ozon_Old
1.98	Ozon_Old
20.42	Ozon_Old
4.03	Ozon_Old
22.27	Ozon_Old
1.52	Ozon_Old
0.7	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
139.58	Ozon_Old
15.92	Ozon_Old
6.32	Ozon_Old
0.0	Ozon_Old
21.25	Ozon_Old
46.93	Ozon_Old
19.65	Ozon_Old
17.3	Ozon_Old
0.0	Ozon_Old
2.83	Ozon_Old
0.0	Ozon_Old
0.07	Ozon_Old
19.02	Ozon_Old
22.42	Ozon_Old
1.18	Ozon_Old
2.55	Ozon_Old
0.63	Ozon_Old
30.42	Ozon_Old
0.0	Ozon_Old
14.47	Ozon_Old
0.03	Ozon_Old
0.67	Ozon_Old
4.6	Ozon_Old
0.8	Ozon_Old
0.0	Ozon_Old
2.47	Ozon_Old
27.7	Ozon_Old
1.08	Ozon_Old
0.0	Ozon_Old
4.58	Ozon_Old
0.55	Ozon_Old
0.0	Ozon_Old
2.43	Ozon_Old
18.72	Ozon_Old
1.67	Ozon_Old
24.15	Ozon_Old
19.45	Ozon_Old
23.07	Ozon_Old
17.32	Ozon_Old
19.87	Ozon_Old
16.53	Ozon_Old
21.7	Ozon_Old
22.32	Ozon_Old
0.0	Ozon_Old
3.97	Ozon_Old
24.05	Ozon_Old
21.77	Ozon_Old
6.05	Ozon_Old
6.1	Ozon_Old
0.0	Ozon_Old
16.4	Ozon_Old
0.0	Ozon_Old
16.92	Ozon_Old
21.95	Ozon_Old
2.08	Ozon_Old
17.28	Ozon_Old
2.5	Ozon_Old
18.52	Ozon_Old
20.4	Ozon_Old
18.4	Ozon_Old
0.0	Ozon_Old
16.68	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
22.83	Ozon_Old
7.5	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
23.0	Ozon_Old
18.95	Ozon_Old
15.25	Ozon_Old
21.08	Ozon_Old
5.85	Ozon_Old
22.52	Ozon_Old
0.0	Ozon_Old
19.72	Ozon_Old
22.27	Ozon_Old
22.55	Ozon_Old
5.35	Ozon_Old
26.7	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
18.18	Ozon_Old
18.28	Ozon_Old
0.0	Ozon_Old
0.53	Ozon_Old
0.0	Ozon_Old
5.57	Ozon_Old
2.2	Ozon_Old
2.63	Ozon_Old
14.58	Ozon_Old
0.47	Ozon_Old
0.0	Ozon_Old
25.5	Ozon_Old
19.27	Ozon_Old
5.07	Ozon_Old
4.57	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
29.7	Ozon_Old
19.1	Ozon_Old
0.0	Ozon_Old
5.35	Ozon_Old
12.67	Ozon_Old
0.0	Ozon_Old
19.5	Ozon_Old
1.05	Ozon_Old
6.08	Ozon_Old
21.87	Ozon_Old
22.1	Ozon_Old
24.97	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
23.53	Ozon_Old
2.53	Ozon_Old
0.53	Ozon_Old
16.08	Ozon_Old
1.1	Ozon_Old
18.38	Ozon_Old
0.0	Ozon_Old
22.75	Ozon_Old
6.48	Ozon_Old
23.6	Ozon_Old
4.42	Ozon_Old
0.0	Ozon_Old
5.52	Ozon_Old
30.9	Ozon_Old
14.98	Ozon_Old
3.75	Ozon_Old
24.13	Ozon_Old
3.28	Ozon_Old
0.0	Ozon_Old
5.12	Ozon_Old
2.57	Ozon_Old
12.0	Ozon_Old
2.13	Ozon_Old
1.38	Ozon_Old
9.75	Ozon_Old
0.0	Ozon_Old
0.0	Ozon_Old
22.22	Ozon_Old
24.33	Ozon_Old
24.63	Ozon_Old
25.35	Ozon_Old
20.0	Ozon_Old
14.33	Ozon_Old
14.25	Ozon_Old
14.25	Ozon_Old
14.22	Ozon_Old
14.2	Ozon_Old
14.2	Ozon_Old
14.18	Ozon_Old
14.17	Ozon_Old
14.02	Ozon_Old
13.8	Ozon_Old
13.68	Ozon_Old
13.65	Ozon_Old
13.6	Ozon_Old
12.95	Ozon_Old
12.9	Ozon_Old
